trade_no,symbol,direction,signal_type,confluence_score,entry_time,entry_price,stop_loss,take_profit,lot_size,exit_time,exit_price,exit_reason,pnl_usd,pnl_r,commission
43,XAUUSD,bearish,fvg_retest,85.0,2026-06-12 09:45:00+00:00,4176.26,4185.17,4163.37,0.13,2026-06-12 10:45:00+00:00,4185.17,sl_hit,-115.82999999999811,-1.0,0.91
44,XAUUSD,bearish,ob_retest,65.0,2026-06-15 08:45:00+00:00,4312.58,4333.15,4282.2,0.05,2026-06-15 11:30:00+00:00,4333.15,sl_hit,-102.84999999999856,-1.0,0.35000000000000003
45,XAUUSD,bearish,fvg_retest,85.0,2026-06-15 19:45:00+00:00,4336.01,4349.37,4316.47,0.08,2026-06-15 23:00:00+00:00,4316.47,tp_hit,156.3199999999997,1.4625748502994342,0.56
46,XAUUSD,bearish,fvg_retest,85.0,2026-06-16 01:15:00+00:00,4309.7300000000005,4315.91,4300.96,0.18,2026-06-16 02:00:00+00:00,4315.91,sl_hit,-111.23999999998885,-1.0,1.26
47,XAUUSD,bearish,fvg_retest,85.0,2026-06-16 09:00:00+00:00,4315.68,4324.77,4302.595,0.12,2026-06-16 10:00:00+00:00,4324.77,sl_hit,-109.08000000000173,-1.0,0.84
48,XAUUSD,bearish,fvg_retest,85.0,2026-06-16 10:45:00+00:00,4327.41,4329.18,4325.28,0.61,2026-06-16 10:45:00+00:00,4329.18,sl_hit,-107.97000000002663,-1.0,4.27
49,XAUUSD,bearish,fvg_retest,85.0,2026-06-17 16:15:00+00:00,4331.67,4337.93,4322.755,0.17,2026-06-17 16:15:00+00:00,4337.93,sl_hit,-106.42000000000371,-1.0,1.1900000000000002
50,XAUUSD,bearish,fvg_retest,85.0,2026-06-17 17:00:00+00:00,4339.59,4348.71,4326.66,0.12,2026-06-17 17:15:00+00:00,4348.71,sl_hit,-109.43999999999869,-1.0,0.84
51,XAUUSD,bearish,fvg_retest,65.0,2026-06-18 21:15:00+00:00,4228.14,4234.62,4218.92,0.16,2026-06-18 21:45:00+00:00,4218.92,tp_hit,147.52000000000407,1.4228395061729746,1.12
52,XAUUSD,bearish,fvg_retest,65.0,2026-06-18 22:30:00+00:00,4204.91,4218.43,4185.155,0.08,2026-06-18 22:45:00+00:00,4218.43,sl_hit,-108.16000000000349,-1.0,0.56
53,XAUUSD,bearish,fvg_retest,65.0,2026-06-19 01:00:00+00:00,4211.02,4215.22,4197.42,0.25,2026-06-19 02:00:00+00:00,4197.42,tp_hit,340.0000000000091,3.238095238095465,1.75
54,XAUUSD,bearish,fvg_retest,65.0,2026-06-19 06:00:00+00:00,4176.1,4184.23,4164.405,0.13,2026-06-19 06:30:00+00:00,4164.405,tp_hit,152.03500000000804,1.4384993849940677,0.91
55,XAUUSD,bearish,fvg_retest,65.0,2026-06-19 07:00:00+00:00,4153.08,4165.37,4135.545,0.09,2026-06-19 07:30:00+00:00,4135.545,tp_hit,157.8149999999987,1.4267697314890078,0.63
56,XAUUSD,bearish,fvg_retest,65.0,2026-06-19 08:00:00+00:00,4125.54,4141.66,4101.91,0.07,2026-06-19 09:00:00+00:00,4141.66,sl_hit,-112.83999999999925,-1.0,0.49000000000000005
57,XAUUSD,bearish,fvg_retest,65.0,2026-06-19 10:30:00+00:00,4152.25,4158.13,4143.905,0.19,2026-06-19 10:45:00+00:00,4158.13,sl_hit,-111.72000000000209,-1.0,1.33
58,XAUUSD,bearish,fvg_retest,85.0,2026-06-19 16:15:00+00:00,4169.6900000000005,4184.23,4148.33,0.08,2026-06-19 17:00:00+00:00,4148.33,tp_hit,170.88000000000466,1.4690508940854177,0.56
59,XAUUSD,bearish,fvg_retest,85.0,2026-06-19 17:15:00+00:00,4149.08,4157.95,4136.3,0.13,2026-06-22 01:00:00+00:00,4157.95,sl_hit,-115.30999999999858,-1.0,0.91
60,XAUUSD,bearish,fvg_retest,85.0,2026-06-22 03:00:00+00:00,4140.110000000001,4153.97,4119.77,0.08,2026-06-22 03:00:00+00:00,4153.97,sl_hit,-110.87999999999738,-1.0,0.56
61,XAUUSD,bearish,fvg_retest,85.0,2026-06-22 04:30:00+00:00,4207.150000000001,4215.22,4195.545,0.14,2026-06-22 04:30:00+00:00,4195.545,tp_hit,162.47000000000665,1.438042131350792,0.9800000000000001
62,XAUUSD,bearish,fvg_retest,85.0,2026-06-22 05:00:00+00:00,4190.7,4205.29,4169.315,0.08,2026-06-22 09:45:00+00:00,4205.29,sl_hit,-116.72000000000115,-1.0,0.56
63,XAUUSD,bearish,fvg_retest,85.0,2026-06-22 10:00:00+00:00,4197.610000000001,4205.29,4186.09,0.14,2026-06-22 12:00:00+00:00,4205.29,sl_hit,-107.51999999999136,-1.0,0.9800000000000001
64,XAUUSD,bearish,fvg_retest,85.0,2026-06-22 13:30:00+00:00,4209.79,4215.22,4202.145,0.2,2026-06-22 14:45:00+00:00,4202.145,tp_hit,152.89999999999054,1.4079189686922868,1.4000000000000001
65,XAUUSD,bearish,fvg_retest,85.0,2026-06-22 16:00:00+00:00,4193.13,4206.31,4173.81,0.08,2026-06-22 17:00:00+00:00,4206.31,sl_hit,-105.44000000000233,-1.0,0.56
66,XAUUSD,bearish,fvg_retest,85.0,2026-06-22 17:30:00+00:00,4191.72,4206.31,4170.31,0.07,2026-06-22 18:45:00+00:00,4170.31,tp_hit,149.86999999999898,1.4674434544208115,0.49000000000000005
67,XAUUSD,bearish,fvg_retest,85.0,2026-06-22 20:15:00+00:00,4186.4800000000005,4194.95,4174.3,0.13,2026-06-23 02:30:00+00:00,4194.95,sl_hit,-110.10999999999149,-1.0,0.91
68,XAUUSD,bearish,fvg_retest,85.0,2026-06-23 04:30:00+00:00,4178.03,4190.27,4160.095,0.09,2026-06-23 04:30:00+00:00,4160.095,tp_hit,161.4149999999954,1.4652777777776533,0.63
69,XAUUSD,bearish,fvg_retest,85.0,2026-06-23 05:15:00+00:00,4153.43,4171.08,4127.455,0.06,2026-06-23 07:45:00+00:00,4127.455,tp_hit,155.85000000000218,1.471671388102034,0.42
70,XAUUSD,bearish,ob_retest,100.0,2026-06-23 08:00:00+00:00,4117.92,4145.22,4077.47,0.04,2026-06-24 04:00:00+00:00,4077.47,tp_hit,161.8000000000011,1.4816849816849818,0.28
71,XAUUSD,bearish,fvg_retest,80.0,2026-06-24 05:30:00+00:00,4073.36,4082.56,4060.11,0.12,2026-06-24 05:30:00+00:00,4060.11,tp_hit,159.0,1.4402173913043763,0.84
72,XAUUSD,bearish,fvg_retest,80.0,2026-06-24 05:45:00+00:00,4057.07,4080.03,4023.105,0.05,2026-06-24 08:30:00+00:00,4080.03,sl_hit,-114.8000000000002,-1.0,0.35000000000000003
73,XAUUSD,bearish,fvg_retest,80.0,2026-06-24 09:00:00+00:00,4075.6600000000003,4080.03,4069.605,0.26,2026-06-24 09:00:00+00:00,4080.03,sl_hit,-113.61999999999716,-1.0,1.82
74,XAUUSD,bearish,fvg_retest,100.0,2026-06-24 14:30:00+00:00,4044.03,4054.89,4028.265,0.1,2026-06-24 14:45:00+00:00,4054.89,sl_hit,-108.59999999999673,-1.0,0.7000000000000001
75,XAUUSD,bearish,fvg_retest,80.0,2026-06-24 15:15:00+00:00,4037.9300000000003,4054.89,4012.94,0.07,2026-06-24 15:15:00+00:00,4012.94,tp_hit,174.93000000000168,1.4734669811321257,0.49000000000000005
76,XAUUSD,bearish,fvg_retest,80.0,2026-06-24 16:15:00+00:00,3971.4,4007.4,3918.15,0.03,2026-06-24 16:30:00+00:00,4007.4,sl_hit,-108.0,-1.0,0.21
77,XAUUSD,bearish,fvg_retest,80.0,2026-06-24 20:45:00+00:00,3984.13,4004.68,3953.855,0.06,2026-06-25 01:00:00+00:00,4004.68,sl_hit,-123.29999999999836,-1.0,0.42
